################################################################
# abuse.ch SSLBL SSL Certificate Blacklist (SHA1 Fingerprints) #
# Last updated: 2024-01-01 09:00:00 UTC                        #
#                                                              #
# Terms Of Use: https://sslbl.abuse.ch/blacklist/              #
# For questions please contact sslbl [at] abuse.ch             #
################################################################
#
# Listingdate,SHA1,Listingreason
2024-07-19 07:47:19,854c68ab7ad70b6f95f76ec64b8a46c145997629,AsyncRAT C&C
2024-07-16 06:03:34,a9990103ef2745e7deac94dbfe252f14cb4d63e9,AsyncRAT C&C
2024-07-16 06:01:50,0ede2a9982ef00c0549718f1ec7e149171bb9035,AsyncRAT C&C
2024-07-14 08:10:05,e357ec145e21fb4a28a71afa35b05d4bd8056e71,PureLogStealer C&C
2024-07-14 07:44:10,84260b67bb540e01384d2254ad8a7dcfefc81013,DCRat C&C
2024-07-12 09:05:39,6f5596f3c304a5877e16764352142ca646c5927a,QuasarRAT C&C
2024-07-12 07:46:58,3ecd22a76155f63c9a83206a22a01279fe386ea5,Havoc C&C
2024-07-12 07:46:50,bf0e7fbe28eca379529d30950f2e65905c8167f6,AsyncRAT C&C
2024-07-11 07:15:27,1bd1fee41dac6fda021becc6ed67c26e7e7315ed,Sliver C&C
2024-07-11 07:08:09,0cb3da710c6dc833050a82f4d3864c05ddcb76c8,Vidar C&C
2024-07-11 06:57:29,772c8f46f11ba3c7612b0fddc01ef4348f21483d,AsyncRAT C&C
2024-07-10 05:49:35,7332640210cc4cf0157a7d6843e9793f7d5e75bb,Vidar C&C
2024-07-10 05:49:26,6ca86b5f28ce1182eacbc9e19231dc39fc4f920a,Vidar C&C
2024-07-09 09:23:38,051b8e4f4a3e279ba2179dbf148bf6d16982b8ce,AsyncRAT C&C
2024-07-09 09:23:28,a0cf3ddb0fa7f0bdc42c025c84d9dd0e2331f832,AsyncRAT C&C
2024-07-08 10:44:17,f48552e08a2e56b11738285f406eabacdee550f0,Latrodectus C&C
2024-07-07 09:06:14,9e0626623e416cfe23dd33d211b3525c02288492,AsyncRAT C&C
2024-07-07 09:05:36,549263bd72dd751a0e0dbf721dc74ba5195e3493,DCRat C&C
2024-07-05 05:12:39,5293bdb3680e323126b7d71396e15395af39d9a3,Vidar C&C
2024-07-05 05:12:11,0fc77c988b47ec2927fb9a9cd12e28b97fa13e51,AsyncRAT C&C
2024-07-05 05:12:05,4d9ddd9eefd45886532adc566ea5e8b99b9c2546,AsyncRAT C&C
2024-07-04 06:19:47,3ad3f41c7332657b42e9995dd368b7c94ce24b10,Vidar C&C
2024-07-03 06:03:06,25407e0829ea688cc753b0403793b43a72266a22,AsyncRAT C&C
2024-07-03 06:02:45,a59d3eb9981b9dfaf7bbaf6a33405d8156f75a47,Vidar C&C
2024-07-02 05:51:27,410ec2431307d0505db7f4a09cb92fbd372ab369,Vidar C&C
2024-06-30 08:16:04,8432bb1d1a78ddda1094cd4de0b4087040ca9cd0,AsyncRAT C&C
2024-06-30 08:15:58,2e725d98fb644a05120065bd627e947c45ad1d43,AsyncRAT C&C
2024-06-29 06:58:13,f8516d89a1dfd78bd8ff575bbc3ae828b47ff0e1,QuasarRAT C&C
2024-06-29 06:58:02,15b762a4ccae681004e36caf23f19f0503856ec4,AsyncRAT C&C
2024-06-29 06:57:54,3559c3296b950279d31b4e5a75b35f1322c7d956,AsyncRAT C&C
2024-06-29 06:57:19,ab3b24fcb2df8b4a4f8df3236c2388a9c0cc27a6,Vidar C&C
2024-06-28 10:48:56,65ad2f12e13f62e1ca6de589d163be234ed77596,AsyncRAT C&C
2024-06-27 08:13:26,96a72a65c2409ffbf27e99dc46f3b56e1df86ada,VenomRAT C&C
2024-06-26 08:50:00,fd2de574af7e363a5304df85b3475f93a948c103,QuasarRAT C&C
2024-06-25 08:47:06,b1f363cb165b4add4702fd386a0a1054bfed678c,QuasarRAT C&C
2024-06-24 15:45:12,d8ac679503128d58bfac22065d90e9ed3fc09cad,Vidar C&C
2024-06-24 15:44:30,39d5e374dd9a145b3603e018026566b324b8dda6,DCRat C&C
2024-06-24 12:06:29,b7a0bcdd9a64c5da08ef2939676b91f98c9147c5,BruteRatel C&C
2024-06-22 07:18:57,d25a2b8cb241da84bddcff0c2fff90987b7fa30d,BruteRatel C&C
2024-06-22 07:18:56,735892ad2491e9feb0314ceaaed2a66d288d9dea,BruteRatel C&C
2024-06-21 12:32:56,c2e2a68f941b001c06ba8a8491de73d2e20d96e9,DCRat C&C
2024-06-21 05:29:15,c4393cc437ac79b206f8301595bab5689b415752,AsyncRAT C&C
2024-06-21 05:29:14,21a9a89089af313e5e35c9a330d63f0b0bbbd4fb,VenomRAT C&C
2024-06-18 18:54:00,7970c2029edbb83e6bd65073be18684ac9ff3f48,QuasarRAT C&C
2024-06-17 15:02:57,9fa148ddad4f3ddde0ad4b9249a383e0c13fc4cc,Vidar C&C
2024-06-16 08:07:15,bbd5449b9ff167315fd31f164a6e360a783c72e5,AsyncRAT C&C
2024-06-16 08:06:56,5a1721840c7fcfa52998d9f98f97f4b8137e6734,QuasarRAT C&C
2024-06-16 08:06:51,4358125f70e735fb0136fe48c95e17de430868b4,DCRat C&C
2024-06-15 15:16:31,33cd359517b2afd229eb8c9cda328d5f56158838,VenomRAT C&C
2024-06-15 10:18:51,7f2af7c4ba2d50cc359c9894b54c0c0e9459cafa,VenomRAT C&C
2024-06-15 10:18:44,744fca3ea19abf015b805b2bd71fed773737fc88,AsyncRAT C&C
2024-06-14 07:01:19,7bbced9e278eacdb84db99a8941600df88f1ab36,Vidar C&C
2024-06-14 07:01:12,b7a0646de2acde90c1c99556789ff190faefd359,Vidar C&C
2024-06-13 09:32:52,c3af8b87c2ea470ee8711891919523a2b3635e1d,AsyncRAT C&C
2024-06-12 15:00:18,d702e1c9c12f7506f62fd8c13803b5905f7db89d,QuasarRAT C&C
2024-06-12 06:25:47,c9bc046b617dd0f608706b9640c8d97c327969fb,QuasarRAT C&C
2024-06-12 06:24:44,e22f2e4c0636e8dbaf4199cfb9111dfb30c7ca5b,Vidar C&C
2024-06-11 18:32:10,919d91b870c8d9a50c05fd5f3bd9647a8a31282e,AsyncRAT C&C
2024-06-11 18:32:01,e3f9325fdcf7cbe474db678812431e432d3171b2,QuasarRAT C&C
2024-06-09 11:51:39,6916a631ff34630072a28fbf94cf56007359e356,Vidar C&C
2024-06-06 15:43:10,9d71bd006a0f2fd32a5c736c7b1560a9286684fd,Rhadamanthys C&C
2024-06-05 06:38:52,eba05a715c783b03874b0ec34db4210c613a118b,Vidar C&C
2024-06-04 06:05:11,22c42716cd8f181b90df9d1b991a88dbff056849,Vidar C&C
2024-06-04 05:56:19,e79e38904328f44dc9a2a4bc97302c4f38100438,VenomRAT C&C
2024-06-03 06:41:03,6239a74618886b29924f8dfcc4df059919cdf22b,Vidar C&C
2024-06-01 05:31:38,b46db9187793b1668f86fb727eedab4d5b2414e4,AsyncRAT C&C
2024-06-01 05:30:07,55f4453623477bbbddb5ef8709efc93e300f3535,Malware C&C
2024-05-30 06:14:09,00c5e34b34da3f23ac52975637da01d5f0f1d108,Stealc C&C
2024-05-28 17:35:09,895172c42fe6b9288300ff47f5ce5b090b87e410,Steal C&C
2024-05-28 17:33:14,af8d9adafc003111285c8780e1a6687eb00bc0ea,Stealc C&C
2024-05-28 17:32:57,5840c9e5bd8cb39de75bc28c20b9fe09eada256b,Stealc C&C
2024-05-28 06:45:58,216e5db3539f0ed97fc438a55b0a428e2b223cc1,Vidar C&C
2024-05-28 06:45:34,f2ecfbc7bf355c45940ceeb5565450d95d6a666a,AsyncRAT C&C
2024-05-28 06:45:24,ddca8f15caf12feb0a8777d2196d8cfea6d25f01,QuasarRAT C&C
2024-05-25 07:22:08,08832c60295f53d768ef856693615f24e7d02955,Stealc C&C
2024-05-25 07:21:59,395c98e8da883cc824a1ec77cdf495f8c955332b,Stealc C&C
